symbol	hgncId	ncbiGeneId	ensemblGeneId
ALKBH5	HGNC:25996	54890	ENSG00000091542
ALKBH6	HGNC:28243	84964	ENSG00000239382
ALKBH7	HGNC:21306	84266	ENSG00000125652
ALLC	HGNC:17377	55821	ENSG00000151360
ALOX12	HGNC:429	239	ENSG00000108839
ALOX15	HGNC:433	246	ENSG00000161905
ALOX15B	HGNC:434	247	ENSG00000179593
ERVV-1	HGNC:26501	147664	ENSG00000269526
ERVV-2	HGNC:39051	100271846	ENSG00000268964
ERVW-1	HGNC:13525	30816	ENSG00000242950
ESCO1	HGNC:24645	114799	ENSG00000141446
ESD	HGNC:3465	2098	ENSG00000139684
ESF1	HGNC:15898	51575	ENSG00000089048
ESM1	HGNC:3466	11082	ENSG00000164283
ESPL1	HGNC:16856	9700	ENSG00000135476
ESPNL	HGNC:27937	339768	ENSG00000144488
ESRP2	HGNC:26152	80004	ENSG00000103067
ESRRA	HGNC:3471	2101	ENSG00000173153
ESRRG	HGNC:3474	2104	ENSG00000196482
ESX1	HGNC:14865	80712	ENSG00000123576
ESYT1	HGNC:29534	23344	ENSG00000139641
ESYT2	HGNC:22211	57488	ENSG00000117868
ESYT3	HGNC:24295	83850	ENSG00000158220
ETAA1	HGNC:24648	54465	ENSG00000143971
ETDA	HGNC:53449	101928677	ENSG00000238210
ETDB	HGNC:44269	100129515	ENSG00000224107
ETDC	HGNC:53450	110806299	ENSG00000283644
ETF1	HGNC:3477	2107	ENSG00000120705
ETFBKMT	HGNC:28739	254013	ENSG00000139160
ETFRF1	HGNC:27052	144363	ENSG00000205707
ETNK1	HGNC:24649	55500	ENSG00000139163
ETNK2	HGNC:25575	55224	ENSG00000143845
ETNPPL	HGNC:14404	64850	ENSG00000164089
ETS2	HGNC:3489	2114	ENSG00000157557
ETV2	HGNC:3491	2116	ENSG00000105672
ETV3	HGNC:3492	2117	ENSG00000117036
ETV3L	HGNC:33834	440695	ENSG00000253831
ETV5	HGNC:3494	2119	ENSG00000244405
ETV7	HGNC:18160	51513	ENSG00000010030
EVA1A	HGNC:25816	84141	ENSG00000115363
EVA1B	HGNC:25558	55194	ENSG00000142694
EVA1C	HGNC:13239	59271	ENSG00000166979
EVI2A	HGNC:3499	2123	ENSG00000126860
EVI2B	HGNC:3500	2124	ENSG00000185862
EVI5	HGNC:3501	7813	ENSG00000067208
EVI5L	HGNC:30464	115704	ENSG00000142459
EVL	HGNC:20234	51466	ENSG00000196405
EVPL	HGNC:3503	2125	ENSG00000167880
EVPLL	HGNC:35236	645027	ENSG00000214860
EVX1	HGNC:3506	2128	ENSG00000106038
EVX2	HGNC:3507	344191	ENSG00000174279
EXD1	HGNC:28507	161829	ENSG00000178997
EXD2	HGNC:20217	55218	ENSG00000081177
EXD3	HGNC:26023	54932	ENSG00000187609
EXO5	HGNC:26115	64789	ENSG00000164002
EXOC1	HGNC:30380	55763	ENSG00000090989
EXOC1L	HGNC:53433	644145	ENSG00000250821
EXOC3	HGNC:30378	11336	ENSG00000180104
EXOC3L1	HGNC:27540	283849	ENSG00000179044
EXOC3L4	HGNC:20120	91828	ENSG00000205436
EXOC4	HGNC:30389	60412	ENSG00000131558
EXOC5	HGNC:10696	10640	ENSG00000070367
EXOC6	HGNC:23196	54536	ENSG00000138190
EXOG	HGNC:3347	9941	ENSG00000157036
EXOSC4	HGNC:18189	54512	ENSG00000178896
EXOSC6	HGNC:19055	118460	ENSG00000223496
EXOSC7	HGNC:28112	23016	ENSG00000075914
EXOSC10	HGNC:9138	5394	ENSG00000171824
EXTL1	HGNC:3515	2134	ENSG00000158008
EXTL2	HGNC:3516	2135	ENSG00000162694
EYA2	HGNC:3520	2139	ENSG00000064655
EYA3	HGNC:3521	2140	ENSG00000158161
EZH1	HGNC:3526	2145	ENSG00000108799
EZHIP	HGNC:33738	340602	ENSG00000187690
F2R	HGNC:3537	2149	ENSG00000181104
F2RL1	HGNC:3538	2150	ENSG00000164251
F2RL2	HGNC:3539	2151	ENSG00000164220
F2RL3	HGNC:3540	9002	ENSG00000127533
F3	HGNC:3541	2152	ENSG00000117525
F8A1	HGNC:3547	8263	ENSG00000288722
F8A2	HGNC:31849	474383	ENSG00000288709
F8A3	HGNC:31850	474384	ENSG00000277150
F11R	HGNC:14685	50848	ENSG00000158769
FAAP20	HGNC:26428	199990	ENSG00000162585
FABP1	HGNC:3555	2168	ENSG00000163586
