rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
84,0.994995,0.248749,same_family_shared_ancestor,false,7a01962fe5533132e5b8a3328c6141d5,55320,NCBIGene:124404,SEPTIN12,23300,MONDO:0032739,spermatogenic failure 36,4,0.11965947277302282,4,0.11965947277302282,0.6666666666666666,0,0,0,0,2,,spermatogenic failure 10 via spermatogenic failure
85,0.994987,0.248747,same_family_shared_ancestor,false,1cc8d03aa863ff8c7b8b3b39f1fb67c3,50866,NCBIGene:881,CCIN,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,0.5,0,0,0,0,2,,spermatogenic failure 91 via spermatogenic failure
86,0.994987,0.248747,same_family_shared_ancestor,false,27e48adbba5a84812eddf1504501feec,50866,NCBIGene:881,CCIN,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,0.5,0,0,0,0,2,,spermatogenic failure 91 via spermatogenic failure
87,0.994987,0.248747,same_family_shared_ancestor,false,28c3e6725e8dcc77efd1601cb349132a,50866,NCBIGene:881,CCIN,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,0.5,0,0,0,0,2,,spermatogenic failure 91 via spermatogenic failure
88,0.994987,0.248747,same_family_shared_ancestor,false,4666063c2f458dbb5c8611d17a7aee6b,50866,NCBIGene:881,CCIN,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,0.5,0,0,0,0,2,,spermatogenic failure 91 via spermatogenic failure
89,0.994826,0.248706,same_family_shared_ancestor,false,53932ce7c603194cecbb61b56b583320,54991,NCBIGene:81833,SPACA1,24774,MONDO:0054730,spermatogenic failure 26,4,0.1335065289791032,4,0.1335065289791032,0.5714285714285714,0,0,0,0,2,,spermatogenic failure 85 via spermatogenic failure
90,0.994826,0.248706,same_family_shared_ancestor,false,d1771ab409b33cd6715ed316658a406c,53622,NCBIGene:10881,ACTL7A,24774,MONDO:0054730,spermatogenic failure 26,4,0.1335065289791032,4,0.1335065289791032,0.5714285714285714,0,0,0,0,2,,spermatogenic failure 86 via spermatogenic failure
91,0.994592,0.248648,same_family_shared_ancestor,false,10385e4ca35e5fcb64b7a758498397dc,54991,NCBIGene:81833,SPACA1,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714,0,0,0,0,2,,spermatogenic failure 85 via spermatogenic failure
92,0.994592,0.248648,same_family_shared_ancestor,false,9f06fb618fbd04e5033b215d14a7cec2,54991,NCBIGene:81833,SPACA1,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714,0,0,0,0,2,,spermatogenic failure 85 via spermatogenic failure
93,0.994592,0.248648,same_family_shared_ancestor,false,a0183789e4f33657422e70adf7116677,54991,NCBIGene:81833,SPACA1,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714,0,0,0,0,2,,spermatogenic failure 85 via spermatogenic failure
94,0.994592,0.248648,same_family_shared_ancestor,false,b6670427fcc474a784ea78d3e1a38539,54991,NCBIGene:81833,SPACA1,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714,0,0,0,0,2,,spermatogenic failure 85 via spermatogenic failure
95,0.994333,0.248583,same_family_shared_ancestor,false,6b146967653b6e51d2cfbdc53530e48d,54941,NCBIGene:80217,CFAP43,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.42857142857142855,0,0,0,0,2,,spermatogenic failure 19 via spermatogenic failure
96,0.994203,0.248551,same_family_shared_ancestor,false,81c6bd147a0898bc043ecf4ad6b25738,55027,NCBIGene:83894,TTC29,24772,MONDO:0054728,spermatogenic failure 24,6,0.37593698780246965,6,0.37593698780246965,0.75,0,0,0,0,2,,spermatogenic failure 42 via spermatogenic failure
97,0.994033,0.248508,same_family_shared_ancestor,false,4edd0eac8b6cd2c76419d0b952ab8716,53102,NCBIGene:8632,DNAH17,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.6666666666666666,0,0,0,0,2,,spermatogenic failure 39 via spermatogenic failure
98,0.994033,0.248508,same_family_shared_ancestor,false,52b3e493c0a79dc4cc9969d090d9e162,55742,NCBIGene:401024,FSIP2,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.6666666666666666,0,0,0,0,2,,spermatogenic failure 34 via spermatogenic failure
99,0.994022,0.248505,same_family_shared_ancestor,false,5b000774f80e901fb8dcdeb51eae478e,53473,NCBIGene:10233,LRRC23,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.6,0,0,0,0,2,,spermatogenic failure 92 via spermatogenic failure
100,0.994022,0.248505,same_family_shared_ancestor,false,ef63dc2ff9e1703019a05920326c2e58,54667,NCBIGene:57639,CCDC146,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.6,0,0,0,0,2,,spermatogenic failure 94 via spermatogenic failure
101,0.993997,0.248499,same_family_shared_ancestor,false,442bef3197a1e8ad56cdebdcc27be0f9,53102,NCBIGene:8632,DNAH17,26713,MONDO:0859352,spermatogenic failure 79,5,0.065450991770999,6,0.06568365812744387,0.6666666666666666,0,0,0,0,2,,spermatogenic failure 39 via spermatogenic failure
